ano,cnpj
2023,5971368000110
2023,5971382000114
2023,5971397000182
2023,5971570000142
2023,5971633000160
2023,5971755000157
2023,5971779000106
2023,5971800000173
2023,5971822000133
2023,5971853000194
2023,5971880000167
2023,5972103000137
2023,5972123000108
2023,5972126000141
2023,5972255000130
2023,5972285000146
2023,5972332000151
2023,5972359000144
2023,5972405000105
2023,5972425000186
2023,5972579000178
2023,5972648000143
2023,5972763000118
2023,5972820000169
2023,5972854000153
2023,5973229000126
2023,5973242000185
2023,5973469000120
2023,5974195000194
2023,5974252000135
2023,5974255000179
2023,5974276000194
2023,5974461000189
2023,5974479000180
2023,5974509000159
2023,5974671000177
2023,5974767000135
2023,5974768000180
2023,5974959000141
2023,5975111000137
2023,5975134000141
2023,5975472000183
2023,5975528000108
2023,5975582000145
2023,5975609000108
2023,5975775000104
2023,5975862000153
2023,5975865000197
2023,5975935000107
2023,5976012000170
2023,5976167000106
2023,5976257000105
2023,5976311000104
2023,5976439000178
2023,5976534000171
2023,5976906000160
2023,5977006000137
2023,5977016000172
2023,5977098000155
2023,5977332000144
2023,5977373000130
2023,5977565000147
2023,5977968000196
2023,5978165000156
2023,5978260000150
2023,5978303000105
2023,5978447000153
2023,5978464000190
2023,5978532000111
2023,5978745000143
2023,5979069000122
2023,5979285000178
2023,5979337000106
2023,5979523000145
2023,5979670000115
2023,5979692000185
2023,5979727000186
2023,5979827000102
2023,5979837000148
2023,5979980000130
2023,5980352000174
2023,5980522000110
2023,5980539000178
2023,5980593000113
2023,5980692000103
2023,5980738000186
2023,5980756000168
2023,5980986000127
2023,5981092000151
2023,5981171000162
2023,5981419000195
2023,5981430000155
2023,5981833000102
2023,5982009000169
2023,5982069000181
2023,5982180000178
2023,5982200000100
2023,5982471000166
2023,5982547000153
2023,5982690000145
2023,5982702000131
2023,5982730000159
2023,5983041000169
2023,5983170000157
2023,5983192000117
2023,5983421000101
2023,5983666000120
2023,5983882000176
2023,5983995000171
2023,5984285000166
2023,5984336000150
2023,5984457000100
2023,5984527000111
2023,5984589000123
2023,5984742000112
2023,5985207000186
2023,5985391000164
2023,5985529000125
2023,5985654000135
2023,5985672000117
2023,5985724000155
2023,5985744000126
2023,5988182000174
2023,5988186000152
2023,5988286000189
2023,5988326000192
2023,5988350000121
2023,5988432000176
2023,5988476000104
2023,5988578000111
2023,5988601000178
2023,5988846000103
2023,5988880000170
2023,5988913000181
2023,5989095000131
2023,5989100000106
2023,5989287000148
2023,5989289000137
2023,5989344000199
2023,5989476000110
2023,5989521000137
2023,5989551000143
2023,5989634000132
2023,5989858000144
2023,5990133000176
2023,5990158000170
2023,5990269000186
2023,5990277000122
2023,5990371000181
2023,5990575000112
2023,5990628000103
2023,5990716000105
2023,5990872000168
2023,5990931000106
2023,5990992000165
2023,5991199000180
2023,5991206000144
2023,5991289000171
2023,5991337000121
2023,5991383000120
2023,5991397000144
2023,5991437000158
2023,5991453000140
2023,5991479000199
2023,5991520000127
2023,5991685000107
2023,5991706000186
2023,5991904000140
2023,5991913000130
2023,5991960000184
2023,5992207000103
2023,5992240000133
2023,5992313000197
2023,5992568000150
2023,5992718000125
2023,5992829000131
2023,5993435000106
2023,5993577000165
2023,5993698000107
2023,5993749000109
2023,5993759000136
2023,5993882000157
2023,5993934000195
2023,5994036000151
2023,5994537000138
2023,5994539000127
2023,5994772000100
2023,5994794000170
2023,5994839000106
2023,5994844000119
2023,5995086000153
2023,5995140000160
2023,5995218000147
2023,5995237000173
2023,5995257000144
2023,5995425000100
2023,5995840000155
2023,5996028000144
2023,5996097000158
2023,5996122000101
2023,5996547000102
2023,5996556000101
2023,5996668000154
2023,5996916000167
2023,5996933000102
2023,5997125000151
2023,5997418000139
2023,5997462000149
2023,5997474000173
2023,5997594000170
2023,5997632000195
2023,5997742000157
2023,5997760000139
2023,5997825000146
2023,5997830000159
2023,5997854000108
2023,5997871000145
2023,5997947000132
2023,5998424000100
2023,5998791000104
2023,5998842000106
2023,5998864000168
2023,5999089000165
2023,5999148000103
2023,5999187000100
2023,5999282000104
2023,5999455000186
2023,5999532000106
2023,5999575000183
2023,5999998000101
2023,6000010000103
2023,6000097000119
2023,6000195000156
2023,6000230000137
2023,6000247000194
2023,6000268000100
2023,6000515000178
2023,6000968000102
2023,6001044000112
2023,6001057000191
2023,6001061000150
2023,6001076000118
2023,6001111000107
2023,6001216000158
2023,6001328000109
2023,6001401000142
2023,6001539000141
2023,6001560000147
2023,6001620000121
2023,6001659000149
2023,6001703000110
